,n_estimators,booster,colsample_bytree,learning_rate,max_depth,min_child_weight,min_split_loss,reg_alpha,reg_lambda,score
40,2,gbtree,0.2040816326530612,0.7959183673469387,23,9,8,0.04081632653061224,0.8571428571428571,0.722325
41,20,gblinear,0.18367346938775508,0.9795918367346939,16,3,2,0.836734693877551,0.5102040816326531,0.5
42,24,gbtree,0.12244897959183673,0.2857142857142857,30,4,49,0.3469387755102041,0.4081632653061224,0.809675
43,24,gblinear,0.673469387755102,0.5102040816326531,20,14,26,0.836734693877551,0.1020408163265306,0.5
44,6,gbtree,0.2857142857142857,0.5918367346938775,39,2,30,0.16326530612244897,0.08163265306122448,0.78645
45,15,gblinear,0.2040816326530612,0.9387755102040816,22,16,46,0.2040816326530612,0.6530612244897959,0.5795
46,22,gblinear,0.7959183673469387,0.0,44,1,3,0.8571428571428571,0.02040816326530612,0.5
47,24,gbtree,0.0,0.2857142857142857,1,17,20,0.44897959183673464,0.673469387755102,0.5010749999999999
48,24,gbtree,0.061224489795918366,0.7959183673469387,29,3,36,0.18367346938775508,0.2040816326530612,0.8087250000000001
49,20,gbtree,0.7959183673469387,0.16326530612244897,2,14,24,0.1020408163265306,0.4897959183673469,0.7292500000000001
